"State","St_case","Latitude","Longitud","Race","Hispanic","Per_typ","Age","Sex","Inj_sev","County","City","Month","Day","Hour","Func_sys","Drunk_dr","Body_typ","Is_Motorcycle","Race_desc","Per_type_desc","Year","Age_Cohort","Mode","County_Name"
41,410001,88888888,888888888,"0",0,1,40,2,3,5,0,1,3,19,6,1,31,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_35_44","Motor Vehicle","CLACKAMAS"
41,410001,88888888,888888888,"1",7,2,19,1,4,5,0,1,3,19,6,1,31,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2000,"Age_18_19","Motor Vehicle","CLACKAMAS"
41,410001,88888888,888888888,"0",0,2,14,1,3,5,0,1,3,19,6,1,31,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_10_14","Motor Vehicle","CLACKAMAS"
41,410001,88888888,888888888,"0",0,2,13,1,2,5,0,1,3,19,6,1,31,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_10_14","Motor Vehicle","CLACKAMAS"
41,410002,88888888,888888888,"0",0,1,29,1,2,55,0,1,3,3,2,0,14,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_25_29","Motor Vehicle","SHERMAN"
41,410002,88888888,888888888,"0",0,2,37,1,3,55,0,1,3,3,2,0,14,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_35_44","Motor Vehicle","SHERMAN"
41,410002,88888888,888888888,"0",0,2,31,2,1,55,0,1,3,3,2,0,14,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_30_34","Motor Vehicle","SHERMAN"
41,410002,88888888,888888888,"1",1,2,0,1,4,55,0,1,3,3,2,0,14,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_Under5","Motor Vehicle","SHERMAN"
41,410003,88888888,888888888,"0",0,1,81,1,3,71,0,1,4,10,4,0,31,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_75_84","Motor Vehicle","YAMHILL"
41,410003,88888888,888888888,"1",7,1,23,1,4,71,0,1,4,10,4,0,31,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_20_24","Motor Vehicle","YAMHILL"
41,410003,88888888,888888888,"0",0,2,2,1,2,71,0,1,4,10,4,0,31,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_Under5","Motor Vehicle","YAMHILL"
41,410004,88888888,888888888,"1",2,1,27,1,4,67,180,1,5,7,13,0,2,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_25_29","Motor Vehicle","WASHINGTON"
41,410004,88888888,888888888,"0",0,1,24,1,1,67,180,1,5,7,13,0,14,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_20_24","Motor Vehicle","WASHINGTON"
41,410004,88888888,888888888,"0",0,1,43,1,0,67,180,1,5,7,13,0,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_35_44","Motor Vehicle","WASHINGTON"
41,410004,88888888,888888888,"0",0,1,27,2,1,67,180,1,5,7,13,0,2,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_25_29","Motor Vehicle","WASHINGTON"
41,410004,88888888,888888888,"0",0,2,5,2,1,67,180,1,5,7,13,0,2,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_Under5","Motor Vehicle","WASHINGTON"
41,410005,88888888,888888888,"1",7,1,23,2,4,31,0,1,5,15,2,0,2,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_20_24","Motor Vehicle","JEFFERSON"
41,410005,88888888,888888888,"1",7,2,24,1,4,31,0,1,5,15,2,0,2,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2000,"Age_20_24","Motor Vehicle","JEFFERSON"
41,410005,88888888,888888888,"3",2,2,23,1,4,31,0,1,5,15,2,0,2,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_20_24","Motor Vehicle","JEFFERSON"
41,410005,88888888,888888888,"1",7,2,19,2,4,31,0,1,5,15,2,0,2,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2000,"Age_18_19","Motor Vehicle","JEFFERSON"
41,410005,88888888,888888888,"0",0,1,27,1,2,31,0,1,5,15,2,0,23,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_25_29","Motor Vehicle","JEFFERSON"
41,410005,88888888,888888888,"0",0,2,24,2,1,31,0,1,5,15,2,0,23,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_20_24","Motor Vehicle","JEFFERSON"
41,410006,88888888,888888888,"18",7,1,52,1,4,67,0,1,5,18,16,1,4,FALSE,"Asian","Driver of a Motor Vehicle In-Transport",2000,"Age_45_54","Motor Vehicle","WASHINGTON"
41,410006,88888888,888888888,"0",0,1,55,1,0,67,0,1,5,18,16,1,5,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_55_64","Motor Vehicle","WASHINGTON"
41,410006,88888888,888888888,"0",0,1,74,1,3,67,0,1,5,18,16,1,14,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_65_74","Motor Vehicle","WASHINGTON"
41,410006,88888888,888888888,"0",0,2,69,2,3,67,0,1,5,18,16,1,14,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_65_74","Motor Vehicle","WASHINGTON"
41,410007,88888888,888888888,"0",0,1,25,1,2,51,1650,1,6,20,13,1,14,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_25_29","Motor Vehicle","MULTNOMAH"
41,410007,88888888,888888888,"1",7,1,49,2,4,51,1650,1,6,20,13,1,6,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_45_54","Motor Vehicle","MULTNOMAH"
41,410008,88888888,888888888,"1",7,1,75,2,4,67,0,1,7,12,3,0,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_75_84","Motor Vehicle","WASHINGTON"
41,410008,88888888,888888888,"0",0,1,39,1,1,67,0,1,7,12,3,0,21,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_35_44","Motor Vehicle","WASHINGTON"
41,410009,88888888,888888888,"18",7,1,58,1,4,53,0,1,7,23,2,0,5,FALSE,"Asian","Driver of a Motor Vehicle In-Transport",2000,"Age_55_64","Motor Vehicle","POLK"
41,410009,88888888,888888888,"0",0,1,20,2,3,53,0,1,7,23,2,0,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_20_24","Motor Vehicle","POLK"
41,410009,88888888,888888888,"0",0,2,24,2,3,53,0,1,7,23,2,0,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_20_24","Motor Vehicle","POLK"
41,410009,88888888,888888888,"0",0,1,17,2,2,53,0,1,7,23,2,0,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_15_17","Motor Vehicle","POLK"
41,410009,88888888,888888888,"0",0,2,17,2,2,53,0,1,7,23,2,0,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_15_17","Motor Vehicle","POLK"
41,410010,88888888,888888888,"1",7,5,69,1,4,47,1168,1,7,17,13,1,NA,FALSE,"White","Pedestrian",2000,"Age_65_74","Pedestrian","MARION"
41,410010,88888888,888888888,"0",0,1,28,1,0,47,1168,1,7,17,13,1,31,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_25_29","Motor Vehicle","MARION"
41,410011,88888888,888888888,"1",7,1,50,2,4,7,0,1,8,20,6,1,3,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_45_54","Motor Vehicle","CLATSOP"
41,410012,88888888,888888888,"1",7,1,77,1,4,41,1225,1,9,99,16,1,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_75_84","Motor Vehicle","LINCOLN"
41,410013,88888888,888888888,"0",0,1,31,1,2,13,0,1,10,11,2,0,3,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_30_34","Motor Vehicle","CROOK"
41,410013,88888888,888888888,"1",7,2,30,2,4,13,0,1,10,11,2,0,3,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2000,"Age_30_34","Motor Vehicle","CROOK"
41,410013,88888888,888888888,"0",0,2,5,1,2,13,0,1,10,11,2,0,3,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_Under5","Motor Vehicle","CROOK"
41,410013,88888888,888888888,"0",0,1,50,1,0,13,0,1,10,11,2,0,63,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_45_54","Motor Vehicle","CROOK"
41,410014,88888888,888888888,"1",7,1,40,2,4,43,0,1,11,14,3,1,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_35_44","Motor Vehicle","LINN"
41,410014,88888888,888888888,"0",0,1,56,1,3,43,0,1,11,14,3,1,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_55_64","Motor Vehicle","LINN"
41,410014,88888888,888888888,"0",0,2,66,2,3,43,0,1,11,14,3,1,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_65_74","Motor Vehicle","LINN"
41,410015,88888888,888888888,"1",7,5,48,1,4,51,1650,1,10,18,13,0,NA,FALSE,"White","Pedestrian",2000,"Age_45_54","Pedestrian","MULTNOMAH"
41,410015,88888888,888888888,"0",0,1,44,1,0,51,1650,1,10,18,13,0,21,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_35_44","Motor Vehicle","MULTNOMAH"
41,410016,88888888,888888888,"1",7,5,53,1,4,19,0,3,9,18,3,1,NA,FALSE,"White","Pedestrian",2000,"Age_45_54","Pedestrian","DOUGLAS"
41,410016,88888888,888888888,"0",0,1,20,1,0,19,0,3,9,18,3,1,14,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_20_24","Motor Vehicle","DOUGLAS"
41,410016,88888888,888888888,"0",0,2,17,2,0,19,0,3,9,18,3,1,14,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_15_17","Motor Vehicle","DOUGLAS"
41,410016,88888888,888888888,"0",0,2,18,2,0,19,0,3,9,18,3,1,14,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_18_19","Motor Vehicle","DOUGLAS"
41,410017,88888888,888888888,"3",7,5,66,1,4,35,0,3,6,19,13,1,NA,FALSE,"AIAN","Pedestrian",2000,"Age_65_74","Pedestrian","KLAMATH"
41,410017,88888888,888888888,"0",0,1,30,2,0,35,0,3,6,19,13,1,20,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_30_34","Motor Vehicle","KLAMATH"
41,410018,88888888,888888888,"0",0,1,19,1,2,51,1650,3,12,4,13,0,2,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_18_19","Motor Vehicle","MULTNOMAH"
41,410018,88888888,888888888,"1",7,2,15,1,4,51,1650,3,12,4,13,0,2,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2000,"Age_15_17","Motor Vehicle","MULTNOMAH"
41,410019,88888888,888888888,"0",0,1,52,1,0,37,0,1,12,18,2,0,40,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_45_54","Motor Vehicle","LAKE"
41,410019,88888888,888888888,"0",0,2,38,2,0,37,0,1,12,18,2,0,40,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_35_44","Motor Vehicle","LAKE"
41,410019,88888888,888888888,"1",7,1,75,1,4,37,0,1,12,18,2,0,31,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_75_84","Motor Vehicle","LAKE"
41,410019,88888888,888888888,"1",7,2,14,1,4,37,0,1,12,18,2,0,31,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2000,"Age_10_14","Motor Vehicle","LAKE"
41,410019,88888888,888888888,"0",0,1,42,1,3,37,0,1,12,18,2,0,31,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_35_44","Motor Vehicle","LAKE"
41,410020,88888888,888888888,"1",7,1,58,1,4,43,0,1,22,2,4,1,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_55_64","Motor Vehicle","LINN"
41,410021,88888888,888888888,"1",7,1,33,2,4,29,0,1,23,2,4,1,31,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_30_34","Motor Vehicle","JACKSON"
41,410022,88888888,888888888,"1",7,1,35,1,4,19,0,1,13,17,1,0,66,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_35_44","Motor Vehicle","DOUGLAS"
41,410022,88888888,888888888,"0",0,2,29,2,2,19,0,1,13,17,1,0,66,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_25_29","Motor Vehicle","DOUGLAS"
41,410023,88888888,888888888,"1",7,5,61,2,4,51,1650,1,14,19,15,0,NA,FALSE,"White","Pedestrian",2000,"Age_55_64","Pedestrian","MULTNOMAH"
41,410023,88888888,888888888,"0",0,1,29,2,0,51,1650,1,14,19,15,0,5,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_25_29","Motor Vehicle","MULTNOMAH"
41,410024,88888888,888888888,"1",7,1,60,1,4,5,0,1,25,20,2,0,2,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_55_64","Motor Vehicle","CLACKAMAS"
41,410024,88888888,888888888,"0",0,1,17,2,2,5,0,1,25,20,2,0,14,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_15_17","Motor Vehicle","CLACKAMAS"
41,410024,88888888,888888888,"0",0,2,11,2,0,5,0,1,25,20,2,0,14,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_10_14","Motor Vehicle","CLACKAMAS"
41,410025,88888888,888888888,"1",7,6,43,1,4,39,660,1,14,17,2,1,NA,FALSE,"White","Bicyclist",2000,"Age_35_44","Bicyclist","LANE"
41,410025,88888888,888888888,"0",0,1,58,2,0,39,660,1,14,17,2,1,14,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_55_64","Motor Vehicle","LANE"
41,410026,88888888,888888888,"0",0,1,19,1,3,3,420,1,15,1,13,1,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_18_19","Motor Vehicle","BENTON"
41,410026,88888888,888888888,"1",7,2,19,2,4,3,420,1,15,1,13,1,4,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2000,"Age_18_19","Motor Vehicle","BENTON"
41,410026,88888888,888888888,"0",0,2,18,1,2,3,420,1,15,1,13,1,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_18_19","Motor Vehicle","BENTON"
41,410026,88888888,888888888,"0",0,2,18,2,3,3,420,1,15,1,13,1,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_18_19","Motor Vehicle","BENTON"
41,410026,88888888,888888888,"0",0,1,28,1,3,3,420,1,15,1,13,1,20,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_25_29","Motor Vehicle","BENTON"
41,410026,88888888,888888888,"0",0,2,25,1,3,3,420,1,15,1,13,1,20,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2000,"Age_25_29","Motor Vehicle","BENTON"
41,410027,88888888,888888888,"1",7,1,57,2,4,47,0,1,26,8,2,0,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2000,"Age_55_64","Motor Vehicle","MARION"
41,410027,88888888,888888888,"0",0,1,31,1,3,47,0,1,26,8,2,0,31,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_30_34","Motor Vehicle","MARION"
41,410028,88888888,888888888,"28",7,5,69,2,4,5,0,1,17,11,2,0,NA,FALSE,"Asian","Pedestrian",2000,"Age_65_74","Pedestrian","CLACKAMAS"
41,410028,88888888,888888888,"0",0,8,2,2,2,5,0,1,17,11,2,0,NA,FALSE,"Latinx","Other Pedestrian (Includes Persons on Personal Conveyances",2000,"Age_Under5","Pedestrian","CLACKAMAS"
41,410028,88888888,888888888,"0",0,8,2,2,2,5,0,1,17,11,2,0,NA,FALSE,"Latinx","Person on Personal Conveyances (Since 2007)",2000,"Age_Under5","Other","CLACKAMAS"
41,410028,88888888,888888888,"0",0,1,45,2,0,5,0,1,17,11,2,0,20,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2000,"Age_45_54","Motor Vehicle","CLACKAMAS"
